id,name,age,gender,salary
1,Ali,25,Male,50000
2,Sara,,Female,60000
3,Ahmed,-3,M,abc
4,Ayesha,30,Female,70000
5,Ali,25,Male,50000
6,Usman,45,Male,80000
7,Zara,28,Female,
8,Hassan,NaN,Male,55000
9,,34,M,62000
10,Iqra,29,Female,58000
11,Ali,twenty,Male,45000
12,Sana,31,F,72000
13,Ahmed,27,Male,NaN
14,Ayesha,30,Female,70000
15,Usman,,Male,82000
16,Zara,26,Female,abc
17,Hassan,-10,M,50000
18,Iqra,35,Female,90000
19,Ali,25,Male,50000
20,Sara,29,Female,61000
21,Ahmed,?,Male,63000
22,Ayesha,33,Female,70000
23,Usman,41,M,85000
24,Zara,,Female,54000
25,Hassan,38,Male,
26,Iqra,27,Female,56000
27,Ali,25,M,50000
28,Sara,twenty five,Female,60000
29,Ahmed,32,Male,68000
30,Ayesha,,Female,72000
31,Usman,44,Male,88000
32,Zara,29,Female,59000
33,Hassan,36,M,62000
34,Iqra,NaN,Female,61000
35,Ali,25,Male,50000
36,Sara,28,F,61000
37,Ahmed,-1,Male,64000
38,Ayesha,34,Female,73000
39,Usman,43,Male,90000
40,Zara,27,Female,
41,Hassan,,Male,60000
42,Iqra,31,Female,65000
43,Ali,25,Male,50000
44,Sara,30,Female,62000
45,Ahmed,35,M,69000
46,Ayesha,NaN,Female,71000
47,Usman,42,Male,87000
48,Zara,28,Female,58000
49,Hassan,39,Male,63000
50,Iqra,,Female,64000
51,Ali,25,Male,50000
52,Sara,29,Female,61000
53,Ahmed,invalid,Male,66000
54,Ayesha,33,Female,72000
55,Usman,,Male,89000
56,Zara,26,Female,56000
57,Hassan,-7,M,61000
58,Iqra,34,Female,67000
59,Ali,25,Male,50000
60,Sara,31,Female,
61,Ahmed,36,Male,70000
62,Ayesha,35,Female,75000
63,Usman,45,M,92000
64,Zara,NaN,Female,60000
65,Hassan,40,Male,65000
66,Iqra,29,Female,62000
67,Ali,,Male,50000
68,Sara,28,Female,61000
69,Ahmed,-2,Male,63000
70,Ayesha,34,Female,74000
71,Usman,44,Male,90000
72,Zara,27,Female,59000
73,Hassan,,Male,62000
74,Iqra,32,Female,66000
75,Ali,25,Male,50000
76,Sara,twenty,Female,60000
77,Ahmed,37,M,71000
78,Ayesha,36,Female,76000
79,Usman,43,Male,88000
80,Zara,28,Female,
81,Hassan,41,Male,68000
82,Iqra,33,Female,69000
83,Ali,25,Male,50000
84,Sara,,Female,61000
85,Ahmed,38,Male,72000
86,Ayesha,37,Female,77000
87,Usman,45,Male,91000
88,Zara,29,Female,60000
89,Hassan,-4,M,64000
90,Iqra,34,Female,68000
91,Ali,25,Male,50000
92,Sara,30,Female,62000
93,Ahmed,NaN,Male,70000
94,Ayesha,35,Female,75000
95,Usman,,Male,89000
96,Zara,27,Female,58000
97,Hassan,42,Male,69000
98,Iqra,,Female,67000
99,Ali,25,Male,50000
100,Sara,29,Female,61000
